gicdesc,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio,long_term_credit_rating,rating,gsector_15.0,gsector_20.0,gsector_25.0,gsector_30.0,gsector_35.0,gsector_40.0,gsector_45.0,gsector_50.0,gsector_55.0
Consumer Staples,2017-02-28,BETR,0.1307539171214089,3.085072932133811,1.015707242321274,2.1919381605380384,0.1639098374757036,0.1007824645232284,0.9382825920977286,7.557067955963211,11.025479484827942,0.1719468319008595,B,0,0,0,0,1,0,0,0,0,0
Industrials,2017-02-28,MTZ,0.1448378814857082,5.490006701620215,1.5374647317229968,3.5872787479796586,0.4038035999221777,0.025563893374164,0.653286762848666,2.313655582992254,44.06214353022864,0.0461517399016655,BB,0,0,1,0,0,0,0,0,0,0
Materials,2017-02-28,CC,0.1234827642013271,2.021097046413502,1.0084697910784868,1.029535864978903,0.0575160585889215,0.0012962962962962,0.9828382838283828,4.644823066841416,4.60149511213341,0.5093167701863354,BB-,0,1,0,0,0,0,0,0,0,0
Consumer Staples,2017-02-28,KO,0.1320455788411337,13.55163043478261,1.181026684758028,9.86820652173913,0.1508320823523482,0.155913336359076,0.7339291852870402,3.9034158838599486,5.282051282051282,0.836763153927333,AA-,1,0,0,0,1,0,0,0,0,0
Industrials,2017-02-28,EME,0.1058916974883881,24.880177397639976,1.3512099030675222,15.657242417042845,0.4029112563657724,0.0245085627748782,0.6050655210224515,1.0745651108894252,39.80107111273276,0.3086837053686596,BBB-,1,0,1,0,0,0,0,0,0,0
Materials,2017-02-28,UFS,0.1121396455964031,4.056338028169014,1.0743691899070384,2.8028169014084505,1.3541567435693838,0.0251078854452726,0.5288732394366197,2.0330188679245285,5.2918032786885245,0.1660026560424967,BBB-,1,1,0,0,0,0,0,0,0,0
Consumer Discretionary,2017-02-28,ISCA,0.0988116257134401,6.860892879411398,3.2850038817432177,5.759820426487092,1.1005434782608696,0.1158187633132863,0.3554628888091096,1.23860107167599,409.15192190359977,2.766812144610672,BBB,1,0,0,1,0,0,0,0,0,0
Consumer Discretionary,2017-02-28,SBUX,0.3657208497434061,44.10835214446953,0.7354936547210471,33.527088036117384,0.0716481056797569,0.1329577906649504,0.5884013352980105,0.6825718947583113,11.781109790236608,0.4659190677627903,A,1,0,0,1,0,0,0,0,0,0
Energy,2017-02-28,OKE,0.1055965354542312,2.6570791392672857,0.4331573895169071,1.7373157699659754,0.1498577092259435,0.0396920322468477,0.7875352931586836,5.661295158506764,17.76793896495678,0.0877339557464815,BB+,0,0,0,0,0,0,0,0,0,0
Utilities,2017-02-28,VVC,0.1144452571673238,4.461988304093567,0.6626026074360213,3.474853801169591,0.6188421402028803,0.0864273169137768,0.6951919595910838,2.9749025720966484,13.70864946889226,0.0828102366006759,A-,1,0,0,0,0,0,0,0,0,1
